year,month,originCountry,dollarRate,consumerPriceIndex,totalCount
2021,September,Pakistan,199.0,150.7415328,1225
2021,September,Germany,199.0,103.8,466
2021,September,United Kingdom,199.0,112.4,309
2021,September,Russia,199.0,201.3291,304
2021,September,Canada,199.0,142.9,265
2021,September,Indonesia,199.0,96.09717,245
2021,September,Bangladesh,199.0,98.88029759,235
2021,September,Spain,199.0,100.575,182
2021,September,France,199.0,106.81,181
2021,October,India,200.0,165.5,8406
2021,October,United Kingdom,200.0,113.4,2241
2021,October,Pakistan,200.0,153.6101952,2042
2021,October,Russia,200.0,203.5639,1328
2021,October,Germany,200.0,104.3,1196
2021,October,Maldives,200.0,97.12746825,963
2021,October,Canada,200.0,143.9,688
2021,October,France,200.0,107.25,624
2021,October,United States,200.0,126.8433954,573
2021,October,Indonesia,200.0,96.21444,473
2021,November,India,202.5,166.7,14236
2021,November,United Kingdom,202.5,114.1,3770
2021,November,Russia,202.5,205.5181,3520
2021,November,Germany,202.5,104.5,2667
2021,November,Pakistan,202.5,158.1834372,2612
2021,November,Maldives,202.5,97.24015859,1464
2021,November,France,202.5,107.64,1447
2021,November,United States,202.5,127.4666312,1178
2021,November,Canada,202.5,144.2,1161
2021,November,Australia,202.5,121.3,940
2021,December,India,202.75,166.1,23566
2021,December,Russia,202.75,207.2033,10793
2021,December,United Kingdom,202.75,114.7,8493
2021,December,Germany,202.75,104.7,5875
2021,December,Ukraine,202.75,316.2,3562
2021,December,Australia,202.75,121.3,3129
2021,December,France,202.75,107.85,3021
2021,December,Maldives,202.75,97.16848802,2896
2021,December,United States,202.75,127.8582746,2884
2021,December,Kazakhstan,202.75,226.266,2462
2021,February,Kazakhstan,194.0,211.234,1231
2021,February,Ukraine,194.0,294.1,845
2021,February,Germany,194.0,101.6,245
2021,February,Russia,194.0,193.9411,119
2021,February,China,194.0,101.5,117
2021,February,India,194.0,156.6,79
2021,February,United Kingdom,194.0,109.4,79
2021,February,United States,194.0,120.6179161,75
2021,February,Canada,194.0,138.9,71
2021,February,Belarus,194.0,74.65509346,44
2021,March,Kazakhstan,198.5,212.501,1514
2021,March,Germany,198.5,102.1,502
2021,March,United Kingdom,198.5,109.7,316
2021,March,Ukraine,198.5,299.1,287
2021,March,China,198.5,101.0,223
2021,March,Russia,198.5,195.2211,197
2021,March,India,198.5,156.8,183
2021,March,United States,198.5,121.4722857,182
2021,March,Canada,198.5,139.6,120
2021,March,Switzerland,198.5,100.5577,84
2021,April,India,197.0,157.8,796
2021,April,China,197.0,100.7,475
2021,April,Kazakhstan,197.0,213.4520549,440
2021,April,Germany,197.0,102.4,383
2021,April,United Kingdom,197.0,110.4,334
2021,April,United States,197.0,122.4706554,248
2021,April,Russia,197.0,196.3534,173
2021,April,Canada,197.0,140.3,144
2021,April,Switzerland,197.0,100.7675,93
2021,April,France,197.0,105.86,84
2021,May,China,197.0,100.6,237
2021,May,Germany,197.0,102.6,222
2021,May,United States,197.0,123.4525155,153
2021,May,United Kingdom,197.0,111.0,149
2021,May,Russia,197.0,197.8064,94
2021,May,Maldives,197.0,96.70748916,73
2021,May,Canada,197.0,141.0,69
2021,May,Switzerland,197.0,101.0339,45
2021,May,India,197.0,160.4,39
2021,May,Australia,197.0,118.8,34
2021,January,Ukraine,190.5,291.2,1460
2021,January,Belarus,190.5,73.23585017,30
2021,January,China,190.5,100.9,27
2021,January,Russia,190.5,192.4401,20
2021,January,Germany,190.5,101.0,19
2021,January,Netherlands,190.5,107.62,18
2021,January,Canada,190.5,138.2,17
2021,January,India,190.5,156.3,17
2021,January,Maldives,190.5,97.38818457,17
2021,January,United States,190.5,119.9612025,10
2019,January,India,178.15,139.6,40049
2019,January,China,178.15,95.92448,26414
2019,January,United Kingdom,178.15,106.4,26036
2019,January,Germany,178.15,98.09239,14027
2019,January,Russia,178.15,178.6042,13474
2019,January,France,178.15,103.01,11892
2019,January,Australia,178.15,114.1,10368
2019,January,United States,178.15,115.434832,7849
2019,January,Ukraine,178.15,265.7,6481
2019,January,Italy,178.15,102.4,6433
2019,February,India,179.9,139.9,32286
2019,February,United Kingdom,179.9,106.8,29750
2019,February,China,179.9,96.91061,28039
2019,February,France,179.9,103.06,17295
2019,February,Germany,179.9,98.47186,17268
2019,February,Russia,179.9,179.39,13008
2019,February,United States,179.9,115.9227811,9678
2019,February,Australia,179.9,114.1,8810
2019,February,Canada,179.9,134.5,6469
2019,February,Italy,179.9,102.5,5363
2019,March,India,175.35,140.4,34812
2019,March,United Kingdom,175.35,107.0,29682
2019,March,China,175.35,96.55202,23759
2019,March,Germany,175.35,98.85133,18134
2019,March,France,175.35,103.89,13957
2019,March,Russia,175.35,179.9641,12705
2019,March,United States,175.35,116.5767431,12543
2019,March,Australia,175.35,114.1,11441
2019,March,Maldives,175.35,97.22179459,7802
2019,March,Canada,175.35,135.4,6011
2019,April,United Kingdom,176.0,107.6,24718
2019,April,India,176.0,141.2,23431
2019,April,Germany,176.0,99.8,16930
2019,April,China,176.0,96.64167,14263
2019,April,Australia,176.0,114.8,9565
2019,April,France,176.0,104.22,9148
2019,April,United States,176.0,117.1940171,4810
2019,April,Maldives,176.0,97.61509898,4655
2019,April,Switzerland,176.0,101.5173,4531
2019,April,Canada,176.0,136.0,3741
2019,May,India,176.2,142.0,11246
2019,May,United Kingdom,176.2,107.9,2953
2019,May,Australia,176.2,114.8,2485
2019,May,Germany,176.2,99.98973,1767
2019,May,Maldives,176.2,97.92270183,1610
2019,May,China,176.2,96.64167,1589
2019,May,Canada,176.2,136.6,1575
2019,May,United States,176.2,117.4434949,1398
2019,May,France,176.2,104.33,1120
2019,May,Russia,176.2,181.1034,844
2019,June,India,176.4,142.9,15048
2019,June,Australia,176.4,114.8,4410
2019,June,United Kingdom,176.4,107.9,4365
2019,June,China,176.4,96.55202,3496
2019,June,Maldives,176.4,98.16091913,3350
2019,June,Germany,176.4,100.2743,3312
2019,June,Canada,176.4,136.3,2827
2019,June,United States,176.4,117.4668834,2412
2019,June,France,176.4,104.58,1989
2019,June,Saudi Arabia,176.4,97.69,1500
2019,July,India,176.3,144.2,18309
2019,July,United Kingdom,176.3,108.0,13010
2019,July,Germany,176.3,100.7487,8385
2019,July,France,176.3,104.38,7142
2019,July,China,176.3,96.91061,6926
2019,July,Netherlands,176.3,106.9,6385
2019,July,Australia,176.3,115.4,5619
2019,July,Maldives,176.3,97.44848362,3875
2019,July,Canada,176.3,137.0,3826
2019,July,Switzerland,176.3,101.2735,3421
2019,August,India,179.2,145.0,37568
2019,August,United Kingdom,179.2,108.3,14132
2019,August,China,179.2,97.62781,9503
2019,August,Germany,179.2,100.5589,7667
2019,August,France,179.2,104.86,7087
2019,August,Australia,179.2,115.4,5985
2019,August,Maldives,179.2,98.07236877,4930
2019,August,United States,179.2,117.657202,4686
2019,August,Spain,179.2,97.059,4419
2019,August,Canada,179.2,136.8,4052
2019,September,India,182.0,145.8,28917
2019,September,China,182.0,98.43465,9231
2019,September,United Kingdom,182.0,108.4,8322
2019,September,Australia,182.0,115.4,6895
2019,September,Germany,182.0,100.5589,6396
2019,September,Maldives,182.0,97.84342589,4304
2019,September,France,182.0,104.5,2928
2019,September,United States,182.0,117.7493803,2830
2019,September,Netherlands,182.0,106.7,2673
2019,September,Canada,182.0,136.2,2438
2019,October,India,181.05,147.2,33217
2019,October,China,181.05,99.33114,11683
2019,October,United Kingdom,181.05,108.3,8763
2019,October,Germany,181.05,100.6538,7820
2019,October,Russia,181.05,181.0478,5761
2019,October,Australia,181.05,116.2,5562
2019,October,Maldives,181.05,98.11434567,3934
2019,October,France,181.05,104.46,3383
2019,October,United States,181.05,118.0185778,2836
2019,October,Ukraine,181.05,274.1,2655
2019,November,India,180.85,148.6,31677
2019,November,Germany,180.85,99.89487,20844
